transaction_id,amount,merchant_avg_amount,amount_deviation_ratio,hour_of_day,is_night,velocity_last_hour,location_mismatch,device_change,customer_tenure_days,is_fraud
TXN_1000,64.06,66.73,0.96,20,0,4,0,0,141,0
TXN_1001,41.68,57.1,0.73,20,0,4,1,0,904,0
TXN_1002,77.23,84.87,0.91,15,0,5,0,0,396,0
TXN_1003,33.98,49.25,0.69,22,1,4,0,0,274,0
TXN_1004,1156.95,230.01,5.03,13,0,1,0,0,51,0
TXN_1005,69.72,91.74,0.76,9,0,2,0,0,51,0
TXN_1006,79.7,60.38,1.32,2,1,1,0,0,18,0
TXN_1007,88.84,100.95,0.88,22,1,1,1,1,604,0
TXN_1008,53.31,84.62,0.63,6,0,5,0,0,276,0
TXN_1009,86.03,79.66,1.08,16,0,1,0,0,370,0
TXN_1010,78.06,66.72,1.17,23,1,5,0,1,7,1
TXN_1011,81.23,64.98,1.25,3,1,1,0,0,1052,0
TXN_1012,12.73,36.36,0.35,11,0,3,0,0,536,1
TXN_1013,108.2,177.38,0.61,16,0,1,0,0,72,0
TXN_1014,178.9,121.7,1.47,15,0,1,0,0,61,0
TXN_1015,73.31,106.24,0.69,16,0,3,0,0,61,0
TXN_1016,90.61,83.9,1.08,19,0,3,0,0,109,0
TXN_1017,31.04,51.73,0.6,6,0,1,0,0,224,0
TXN_1018,251.57,58.37,4.31,9,0,2,0,0,170,0
TXN_1019,55.96,38.59,1.45,13,0,1,0,0,104,0
TXN_1020,83.51,62.32,1.34,20,0,3,0,0,284,1
TXN_1021,136.85,47.85,2.86,23,1,6,0,1,46,1
TXN_1022,1279.42,204.38,6.26,5,1,7,0,1,104,1
TXN_1023,89.1,141.43,0.63,10,0,1,0,0,137,0
TXN_1024,68.51,93.85,0.73,18,0,2,1,1,183,0
TXN_1025,78.35,54.79,1.43,14,0,1,0,0,462,0
TXN_1026,77.23,49.19,1.57,0,1,1,1,0,67,0
TXN_1027,61.58,81.03,0.76,0,1,1,0,0,217,0
TXN_1028,106.92,144.49,0.74,11,0,1,0,0,270,0
TXN_1029,30.17,39.18,0.77,6,0,2,0,0,15,0
