timestamp,transaction_id,fraud_probability,original_decision,final_decision,decision,override_reason,top_contributing_feature,record_hash
2026-09-04T09:30:16.129796+00:00,TXN_1000,0.1411,CLEAR,CLEAR,CLEAR,none,hour_of_day,ff384a27fdc2853d761531c33f1d724e54e79d10541f2cb1eb2123bad00e4b2b
2026-09-04T09:30:16.143299+00:00,TXN_1001,0.1799,CLEAR,CLEAR,CLEAR,none,location_mismatch,80e21a9120ababfdd13bd7ea3fb781a97573248f79e463f0c351f28ac9010bf6
2026-09-04T09:30:16.160388+00:00,TXN_1002,0.0863,CLEAR,CLEAR,CLEAR,none,velocity_last_hour,4669f093ef0fc32c074fc0842a7cf855ae253681df1e3079b03c75d272523fd0
2026-09-04T09:30:16.178065+00:00,TXN_1003,0.3142,CLEAR,CLEAR,CLEAR,none,hour_of_day,3c93b496db3726b69de16f6820199c424ba0f00d7d6b4a62fdc8cffa6f9edc7c
2026-09-04T09:30:16.200993+00:00,TXN_1004,0.3156,CLEAR,CLEAR,CLEAR,none,amount,b84b6b2e0d91c65e443871644870c10dd967ed75fd93b00b8cd21be446eb04ab
2026-09-04T09:30:16.216690+00:00,TXN_1005,0.0684,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,1c165cd9779a57db5d364f3dd227f8b8f0d0b395eb3dcddf8257e25e405d9ba7
2026-09-04T09:30:16.232764+00:00,TXN_1006,0.18,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,288544f4849d36c724a0735cdbd881b4012821de160f0490063079ee1faeaf10
2026-09-04T09:30:16.252227+00:00,TXN_1007,0.3151,CLEAR,CLEAR,CLEAR,none,location_mismatch,b0063c38c4ebad714fd1638ae574a54fc432831f248993f52643b792ffbc6fe2
2026-09-04T09:30:16.267952+00:00,TXN_1008,0.1114,CLEAR,CLEAR,CLEAR,none,velocity_last_hour,f208fbaf707bba8173f118754646edc65ac0f57424f45f0c3605def84be47e56
2026-09-04T09:30:16.286771+00:00,TXN_1009,0.2827,CLEAR,CLEAR,CLEAR,none,hour_of_day,f683802194a2ecc76aee29562259af855f84920894c184f132f6ed1d36b41051
2026-09-04T09:30:16.305035+00:00,TXN_1010,0.3246,CLEAR,CLEAR,CLEAR,none,hour_of_day,2afda1724ad0ce50fc8cacc7d9cde102cb97d59d66d793e60997deae2b3dec8f
2026-09-04T09:30:16.326840+00:00,TXN_1011,0.3143,CLEAR,CLEAR,CLEAR,none,is_night,991d70450b8c9420d5e7563ebc204e1a39f85f470a091a3e66173fbfef972821
2026-09-04T09:30:16.343893+00:00,TXN_1012,0.1144,CLEAR,CLEAR,CLEAR,none,velocity_last_hour,faed4702494747871aa0bef8807f8abd90be427fb2cf476873cce47f874a08e9
2026-09-04T09:30:16.364972+00:00,TXN_1013,0.0783,CLEAR,CLEAR,CLEAR,none,merchant_avg_amount,a4f425f2e8e280ac998651119834fe8d54427146953c230d51a2dea96858faf6
2026-09-04T09:30:16.383414+00:00,TXN_1014,0.0574,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,27625610026a4e7e5ed3a8d102f849f5169eb4150a638a53cb895985e45aaed0
2026-09-04T09:30:16.398581+00:00,TXN_1015,0.077,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,abecda0161668c586cd798c73ff88dc9a2f4efd06ec69be2cdc282cde996b955
2026-09-04T09:30:16.413451+00:00,TXN_1016,0.361,CLEAR,CLEAR,CLEAR,none,hour_of_day,9cd15e18b9650961955c7f307a7c0c66143136c511cdc1f118d834ec8d994995
2026-09-04T09:30:16.429022+00:00,TXN_1017,0.1962,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,218640b15c1a8268f12c235d5fe076085f2126358c65678f08df9f5ea6c5db41
2026-09-04T09:30:16.438923+00:00,TXN_1018,0.2688,CLEAR,CLEAR,CLEAR,none,amount_deviation_ratio,9e8d9f5d1a8511bbd94fbce2eab0926c981a2ef7fb3464caae6e1c0046a22e64
2026-09-04T09:30:16.451107+00:00,TXN_1019,0.1163,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,f1cee596bc01b53cd3e7709af0105f1c603e6d60b525c360637447f88167b211
2026-09-04T09:30:16.464956+00:00,TXN_1020,0.3644,CLEAR,CLEAR,CLEAR,none,hour_of_day,c678e215e880c4883de06f567b38760fb2e0271a40f62cd595e8fcece428f34a
2026-09-04T09:30:16.477677+00:00,TXN_1021,0.5569,ESCALATE,ESCALATE,ESCALATE,none,velocity_last_hour,00c20c2735e40f5b65e6c5e735a1583aa0aba596c76db813d8daa5445f3e0e63
2026-09-04T09:30:16.488885+00:00,TXN_1022,0.9724,HOLD,HOLD,HOLD,none,amount,b9973cff94c7e85e319d6a8efbc6c9fcdae6dc8141acb34950bece9a8cba55a4
2026-09-04T09:30:16.502695+00:00,TXN_1023,0.1093,CLEAR,CLEAR,CLEAR,none,merchant_avg_amount,2160bc17adce592df84db58e74799bfaa6528d43c7bec65c0c9ee2fc5a3b5dd5
2026-09-04T09:30:16.516160+00:00,TXN_1024,0.137,CLEAR,CLEAR,CLEAR,none,location_mismatch,ce51685ca56a571bf0d31cca7b8c31dea981121eb91d01721b728935c2535a8e
2026-09-04T09:30:16.533528+00:00,TXN_1025,0.1283,CLEAR,CLEAR,CLEAR,none,hour_of_day,b1ceaa71a980eab479735b19b1ce462f67f211b5cee320c6c54c094e5f757350
2026-09-04T09:30:16.551568+00:00,TXN_1026,0.265,CLEAR,CLEAR,CLEAR,none,location_mismatch,0038e074d22ab5e34714ac11a1cde7f4daaf51a758f0f96a5d2c4b0eaccf4868
2026-09-04T09:30:16.568301+00:00,TXN_1027,0.2329,CLEAR,CLEAR,CLEAR,none,is_night,cc2fbc1a113dea275b53ce17b3a78af7da61efaf81b21cc3052cd562b37e58ab
2026-09-04T09:30:16.651689+00:00,TXN_1028,0.1032,CLEAR,CLEAR,CLEAR,none,merchant_avg_amount,3619ff8abc4e4de205e39266408e2dab2d3ef1ec25d6ef1799d8075cdd3713fe
2026-09-04T09:30:16.677367+00:00,TXN_1029,0.0874,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,e0675b88cd4d3505918ff316a610919764a8506675cf7e24d1073b7e1433c88f
2026-09-04T09:30:16.687041+00:00,TXN_1030,0.1321,CLEAR,CLEAR,CLEAR,none,is_night,bb1ffce8c054555872a890776987cc093399f24c24d507de5ea193bc2cccdd01
2026-09-04T09:30:16.704776+00:00,TXN_1031,0.0926,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,5be028a1d726c7e8e1f8bd02d506cd6e09ef7916cc482017d297b25c6aba35ff
2026-09-04T09:30:16.719303+00:00,TXN_1032,0.9478,HOLD,HOLD,HOLD,none,amount_deviation_ratio,fe5c9c1f1cc3a100e5ca99308cbec48b23c54acf2865cd3a2ce054e8edb2e0fd
2026-09-04T09:30:16.732056+00:00,TXN_1033,0.1068,CLEAR,CLEAR,CLEAR,none,location_mismatch,6e7e1ccc793e4c91d6994abbf33ca306abb394861cca92a383f23f950d072e75
2026-09-04T09:30:16.747138+00:00,TXN_1034,0.9852,HOLD,HOLD,HOLD,none,amount_deviation_ratio,a56ddd13031639a87a1fe44c864faf0454ab2033d69d2518b28661a812ca86a9
2026-09-04T09:30:16.761073+00:00,TXN_1035,0.3936,CLEAR,CLEAR,CLEAR,none,hour_of_day,6b8d9df7a034bba36c8db7693db41c46b45f928219fac1d1fe5cf0e70771a77c
2026-09-04T09:30:16.775262+00:00,TXN_1036,0.0667,CLEAR,CLEAR,CLEAR,none,velocity_last_hour,a9a4854b0a6f02d8e911ac321499be5d5dc94cb2e6942137e58363d5c24f144b
2026-09-04T09:30:16.788990+00:00,TXN_1037,0.0777,CLEAR,CLEAR,CLEAR,none,location_mismatch,dd01116c327083bb7364a43aa4958769e252dfa570a7a06aa504b5d8b2973d45
2026-09-04T09:30:16.804077+00:00,TXN_1038,0.3747,CLEAR,CLEAR,CLEAR,none,amount,c06be11865bc6a9950cc03b6c1f6cd312141f7fd5e55f12f9e29d0b5005b4bd8
2026-09-04T09:30:16.819887+00:00,TXN_1039,0.9624,HOLD,HOLD,HOLD,none,amount_deviation_ratio,98d4ebb87ca1006ad42ca707524b901a6dba0892645ac6d1a13bfbe02b7c1e10
2026-09-04T09:30:16.835947+00:00,TXN_1040,0.1227,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,0294ca5d67595042aac2f7f1ffc89832001d180d0153b34c634524f1b614cab0
2026-09-04T09:30:16.851233+00:00,TXN_1041,0.2237,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,03984cc26eb7d17f885c2dd35464e2c1c48d790a774d072b8f95733742101a13
2026-09-04T09:30:16.866521+00:00,TXN_1042,0.9656,HOLD,HOLD,HOLD,none,amount_deviation_ratio,8f83d1f3e758666acf540ad86392f9df628530a0ad798635b1f43118057ba712
2026-09-04T09:30:16.881670+00:00,TXN_1043,0.3431,CLEAR,CLEAR,CLEAR,none,hour_of_day,ecb5043594c5fc1f9fd90a5cce5769410e11be6a3c5093e15ec77800fa5b8f95
2026-09-04T09:30:16.898840+00:00,TXN_1044,0.1529,CLEAR,CLEAR,CLEAR,none,hour_of_day,86ff51530982c24783725944d1ece8a6ebbd82cb8621a395be2796c75bf0f6ef
2026-09-04T09:30:16.916673+00:00,TXN_1045,0.0913,CLEAR,CLEAR,CLEAR,none,location_mismatch,c9c3929c13f54d60adab387fa42aa3647312dd7133c87f737aca2dc6eb5ff515
2026-09-04T09:30:16.932174+00:00,TXN_1046,0.1406,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,f5468a199f3f67e3f514fe58d21426fedcf2d9c9b9f0a09914000af731c71f65
2026-09-04T09:30:16.949948+00:00,TXN_1047,0.099,CLEAR,CLEAR,CLEAR,none,hour_of_day,76a074bef321c63ade4cc3c6d4030fd1721f5c407a0bc1f3d42b003aed566c9f
2026-09-04T09:30:16.964997+00:00,TXN_1048,0.1493,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,3bea27d4aef88c5a2477371c24d28fcced60a19a6c9f0d6e63b99f5f752e7fb6
2026-09-04T09:30:16.980656+00:00,TXN_1049,0.1236,CLEAR,CLEAR,CLEAR,none,merchant_avg_amount,4700f0d87389214fddf4631166b09daea635a55192e9ce67656894fbaa6b5284
2026-09-04T09:30:16.994526+00:00,TXN_1050,0.1888,CLEAR,CLEAR,CLEAR,none,velocity_last_hour,7a2b009d11f3703d198422396be8c1265d6c7c7d1f842673de38a9db7781403f
2026-09-04T09:30:17.009042+00:00,TXN_1051,0.1144,CLEAR,CLEAR,CLEAR,none,hour_of_day,4e3aca63e7e014b6c44cdb6cc4875d5304c328ce0158d0c4bd61fe2ec6241a56
2026-09-04T09:30:17.022722+00:00,TXN_1052,0.0945,CLEAR,CLEAR,CLEAR,none,merchant_avg_amount,a817baa51f9f79dfd77babcbf7f1dfb4265a9199cdcad152ac14a71d703a39c5
2026-09-04T09:30:17.042898+00:00,TXN_1053,0.171,CLEAR,CLEAR,CLEAR,none,amount,6fb858085ac57ab1516987f6bfb5d5dea58670636da902ca448eb9465fdb5eb7
2026-09-04T09:30:17.058200+00:00,TXN_1054,0.3212,CLEAR,CLEAR,CLEAR,none,hour_of_day,dfc4dfa9878216bddbdc397687fc725d1062a1ab3156f2e337d57d3a27793885
2026-09-04T09:30:17.070890+00:00,TXN_1055,0.2747,CLEAR,CLEAR,CLEAR,none,hour_of_day,060550984ae0a80c240706f926739711caeac395a8f21e41d768fe1f92588503
2026-09-04T09:30:17.083639+00:00,TXN_1056,0.0943,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,a4eb8fefe20cbb734fe1106636fc8d16d4bb6529dc35b06a4471e3b7675d95c2
2026-09-04T09:30:17.096671+00:00,TXN_1057,0.2719,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,f4f8a6aa7cb587a14747802cdea6ce482e76a72f47c1e111ef006cc769a1ce6b
2026-09-04T09:30:17.110416+00:00,TXN_1058,0.1235,CLEAR,CLEAR,CLEAR,none,location_mismatch,efbafc9692752d5f7b5c6453ba6d1e2af2e27f0158a8c2bf139f2e2a4527c53d
2026-09-04T09:30:17.121566+00:00,TXN_1059,0.2233,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,c337e66e237cdd38b2efffa7aeb024eab4f54b47be962b7764ce782735ce74fe
2026-09-04T09:30:17.132771+00:00,TXN_1060,0.0895,CLEAR,CLEAR,CLEAR,none,hour_of_day,e78a16e0e9c4b05ecab9e383f80bccf5c02222f2f57ef28e40983cdde55bbc08
2026-09-04T09:30:17.147878+00:00,TXN_1061,0.5032,ESCALATE,ESCALATE,ESCALATE,none,hour_of_day,7a75b58459590cbee13f97ff59eda8aa2fd2b64ed4e5429155044d25fa5c0c44
2026-09-04T09:30:17.162455+00:00,TXN_1062,0.2477,CLEAR,CLEAR,CLEAR,none,device_change,c38370d4cf8b86af5785d14302aaaf128b6de19f6cfc9dd6eb28771c2ace7304
2026-09-04T09:30:17.175883+00:00,TXN_1063,0.1535,CLEAR,CLEAR,CLEAR,none,hour_of_day,cc5e1cc572d5bb4abcdc4fdfe00a287033456a1f9d222f28d34fbbdeef4ddf7c
2026-09-04T09:30:17.187223+00:00,TXN_1064,0.8509,HOLD,HOLD,HOLD,none,amount_deviation_ratio,d876c1440cdc2fba58ad390cb9c4ed7ff940ea46d32781d990e75ad36e95fca9
2026-09-04T09:30:17.198853+00:00,TXN_1065,0.1182,CLEAR,CLEAR,CLEAR,none,velocity_last_hour,3e6428a65f0022db08ef72a2187ec7d13ff44286dd0bc0212278294cf15f319b
2026-09-04T09:30:17.211594+00:00,TXN_1066,0.0567,CLEAR,CLEAR,CLEAR,none,customer_tenure_days,6149f6e2fee4197f2ade9fb80ad2916beffec18392880b8861defae1ca13e992
2026-09-04T09:30:17.224793+00:00,TXN_1067,0.2812,CLEAR,CLEAR,CLEAR,none,amount_deviation_ratio,764c9b740490f592cf305d6b838e5ca43b97e5660b61a2fbd10ae5fcbcbf5b13
2026-09-04T09:30:17.235965+00:00,TXN_1068,0.4142,ESCALATE,ESCALATE,ESCALATE,none,amount,267d27dfbc80eee55795d95abd0e81685b189a0a675672f2fde7702f31a1e5ff
2026-09-04T09:30:17.250363+00:00,TXN_1069,0.9641,HOLD,HOLD,HOLD,none,amount,ce5080ac9853ab90c4a5350fbbcb3fa81cbadbf3243ca75fd55db6967a7dea2e
2026-09-04T09:30:17.263971+00:00,TXN_1070,0.1968,CLEAR,CLEAR,CLEAR,none,location_mismatch,d16d49d143ac308fd283162c94f6491d497756be5cc9f17af1a38233717326b2
2026-09-04T09:30:17.282117+00:00,TXN_1071,0.1702,CLEAR,CLEAR,CLEAR,none,is_night,80bef7963866f57d94233b75800f2d09037dfd14b87200acd602ca66b45e68e4
2026-09-04T09:30:17.297036+00:00,TXN_1072,0.0758,CLEAR,CLEAR,CLEAR,none,merchant_avg_amount,c07472986a56e7cc2b3bbe0df0edb778ba0e817a20dcfa19a426be82b45ea2ae
2026-09-04T09:30:17.311226+00:00,TXN_1073,0.258,CLEAR,CLEAR,CLEAR,none,amount,553a4a0d456a71c5cbb0f780063119d21f15e847448f9f00c6f6daf77ca5e530
2026-09-04T09:30:17.325841+00:00,TXN_1074,0.2798,CLEAR,CLEAR,CLEAR,none,merchant_avg_amount,68307971cc3ee4fadbf1b498fe6376e2d72f02b5a6bcc38b94470001c769c81d
2026-09-04T09:30:17.342466+00:00,TXN_1075,0.1184,CLEAR,CLEAR,CLEAR,none,hour_of_day,f0418fcc621095b1d5807b6177d9336fe24a50b0c1d66c786ca0409e0d2e3744
2026-09-04T09:30:17.356039+00:00,TXN_1076,0.2339,CLEAR,CLEAR,CLEAR,none,location_mismatch,f4e516dbd61e2e60c0488e4bb0ecb937c1b90510a07bd4833a930c61391fcce2
2026-09-04T09:30:17.371754+00:00,TXN_1077,0.4712,ESCALATE,ESCALATE,ESCALATE,none,amount_deviation_ratio,f3e13168a08d7f1dc5a698bebc167f72a10198b793d7ee5b2448f38f08b1ce3a
2026-09-04T09:30:17.385035+00:00,TXN_1078,0.2736,CLEAR,CLEAR,CLEAR,none,hour_of_day,6e6f7f923bb053c0191fd7b367008c11e67119952d86193035c68ae4204abf94
2026-09-04T09:30:17.397174+00:00,TXN_1079,0.1076,CLEAR,CLEAR,CLEAR,none,merchant_avg_amount,c7236bd262625fbe27266abf22a9c168cae4460e94b1d1cae568313bc130b2ce
2026-09-04T09:30:17.409658+00:00,TXN_1080,0.1966,CLEAR,CLEAR,CLEAR,none,is_night,05c72333d12952f475681f4f51a75e93f612c21ad3503a427e778093275aab8a
2026-09-04T09:30:17.421459+00:00,TXN_1081,0.9766,HOLD,HOLD,HOLD,none,amount_deviation_ratio,8d24ae358ff2bd53ed02a844b738f2508d5cc67b5c47d83bd6ab2fe2174d25db
2026-09-04T09:30:17.435905+00:00,TXN_1082,0.141,CLEAR,CLEAR,CLEAR,none,hour_of_day,920cc746babf6504ac3b8390137c83db23776e7a257c0c544fb6dbb134372920
